,Incident Type,Response Time,minute
4564,Fire+AC0-Haz Mat,338,60
7085,Fire+AC0-Manhole,346,60
7159,Fire+AC0-1st Alarm,95,60
7116,Fire+AC0-Explosion,218,60
4565,Fire+AC0-Car Fire,21,60
4567,Fire+AC0-10+AC0-76 (Commercial High Rise),101,60
4570,Fire+AC0-Haz Mat,4931,60
6444,Fire+AC0-2nd Alarm,173,60
7233,Fire+AC0-1st Alarm,72,60
4572,Fire+AC0-10+AC0-76 (Commercial High Rise Fire),31,60
4589,Fire+AC0-10+AC0-77 (Residential High Rise Fire),121,60
4612,Fire+AC0-Sensitive Location,345,60
7180,Fire+AC0-1st Alarm,104,60
7142,Fire+AC0-Manhole,629,60
4618,Fire+AC0-Manhole,651,60
5574,Fire+AC0-School,4931,60
4623,Fire+AC0-School,211,60
7236,Fire+AC0-1st Alarm,131,60
7144,Fire+AC0-5th Alarm,3486,60
4636,Fire+AC0-3rd Alarm,425,60
4637,Fire+AC0-3rd Alarm,166,60
7223,Fire+AC0-3rd Alarm,3,60
7145,Fire+AC0-1st Alarm,75,60
4638,Fire+AC0-1st Alarm,265,60
7135,Fire+AC0-2nd Alarm,417,60
7137,Fire+AC0-3rd Alarm,4931,60
7210,Fire+AC0-3rd Alarm,200,60
7148,Fire+AC0-10+AC0-76 (Commercial High Rise Fire),90,60
7165,Fire+AC0-Haz Mat,195,60
4659,Fire+AC0-Haz Mat,262,60
4794,Fire+AC0-2nd Alarm,4931,60
4662,Fire+AC0-1st Alarm,57,60
4688,Fire+AC0-4th Alarm,4931,60
6284,Fire+AC0-10+AC0-77 (Residential High Rise Fire),4931,60
4671,Fire+AC0-Collapse,146,60
4672,Fire+AC0-Haz Mat,112,60
4673,Fire+AC0-10+AC0-77 (Residential High Rise Fire),181,60
7213,Fire+AC0-1st Alarm,61,60
7238,Fire+AC0-1st Alarm,547,60
7261,Fire+AC0-Explosion,62,60
4693,Fire+AC0-2nd Alarm,76,60
4781,Fire+AC0-1st Alarm,4931,60
7250,Fire+AC0-Other,761,60
4698,Fire+AC0-1st Alarm,57,60
4701,Fire+AC0-Haz Mat,85,60
4702,Fire+AC0-Other,42,60
4738,Fire+AC0-Collapse,28,60
7262,Fire+AC0-5th Alarm,1968,60
4752,Fire+AC0-10+AC0-77 (Residential High Rise Fire),61,60
4762,Fire+AC0-3rd Alarm,4931,60
4756,Fire+AC0-10+AC0-77 (Residential High Rise Fire),90,60
7251,Fire+AC0-2nd Alarm,103,60
7204,Fire+AC0-Other,137,60
6142,Fire+AC0-4th Alarm,4931,60
7227,Fire+AC0-10+AC0-77 (Residential High Rise Fire),3942,60
7231,Fire+AC0-Explosion,4931,60
4784,Fire+AC0-10+AC0-77 (Residential High Rise Fire),104,60
4797,Fire+AC0-10+AC0-77 (Residential High Rise Fire),583,60
7206,Fire+AC0-1st Alarm,593,60
4801,Fire+AC0-1st Alarm,60,60
7216,Fire+AC0-Haz Mat,276,60
7217,Fire+AC0-2nd Alarm,1238,60
4803,Fire+AC0-Haz Mat,157,60
7252,Fire+AC0-4th Alarm,4931,60
4824,Fire+AC0-Other,120,60
7241,Fire+AC0-10+AC0-76 (Commercial High Rise Fire),94,60
4717,Fire+AC0-High Rise,4931,60
7253,Fire+AC0-1st Alarm,379,60
7304,Fire+AC0-1st Alarm,137,60
7242,Fire+AC0-10+AC0-77 (Residential High Rise Fire),4,60
7245,Fire+AC0-Haz Mat,83,60
7254,Fire+AC0-1st Alarm,220,60
7255,Fire+AC0-3rd Alarm,719,60
7305,Fire+AC0-Haz Mat,635,60
4849,Fire+AC0-Haz Mat,79,60
