,Incident Type,Response Time,minute
6950,Structural+AC0-Life Safety Violations,525,60
6827,Structural+AC0-Car into a Building,105,60
6837,Structural+AC0-Sidewalk Collapse,684,60
3844,Structural+AC0-Derelict Boat,205,60
3848,Structural+AC0-Falling Debris,249,60
3849,Structural+AC0-Sink Hole,1139,60
3873,Structural+AC0-Scaffold,146,60
3988,Structural+AC0-Scaffold,6234,60
4037,Structural+AC0-Street Cave+AC0-In,6234,60
7021,Structural+AC0-Scaffold,82,60
3883,Structural+AC0-Unstable Scaffolding,110,60
3885,Structural+AC0-Construction Accident,125,60
3892,Structural+AC0-Construction Accident,30,60
3905,Structural+AC0-Construction Accident,216,60
3909,Structural+AC0-Scaffold,117,60
6924,Structural+AC0-Sidewalk Shed,6234,60
6961,Structural+AC0-Sidewalk Shed,69,60
3939,Structural+AC0-Parapet,283,60
3938,Structural+AC0-Crane,136,60
7032,Structural+AC0-Partial Collapse,193,60
3960,Structural+AC0-Collapse,784,60
3982,Structural+AC0-Scaffold,57,60
4066,Structural+AC0-Bus into Building,219,60
4130,Structural+AC0-Stability Problem,6234,60
4134,Structural+AC0-Car into Building,86,60
4135,Structural+AC0-Scaffold,26,60
4156,Structural+AC0-Scaffold,47,60
4157,Structural+AC0-Sidewalk Shed,741,60
4199,Structural+AC0-Scaffold,588,60
4207,Structural+AC0-Scaffold,262,60
7027,Structural+AC0-Stability Problem,252,60
7002,Structural+AC0-Stability Problem,122,60
4257,Structural+AC0-Truck into Building,6234,60
4252,Structural+AC0-Life Safety Violations,243,60
4299,Structural+AC0-Demolition,6234,60
4277,Structural+AC0-Stability Problem,108,60
4278,Structural+AC0-Scaffold,43,60
4286,Structural+AC0-Partial Collapse,1585,60
4301,Structural+AC0-Stability Problem,584,60
4303,Structural+AC0-Collapse,459,60
4307,Structural+AC0-Partial Collapse,353,60
4310,Structural+AC0-Collapse,176,60
4321,Structural+AC0-Partial Collapse,2271,60
7047,Structural+AC0-Stability Problem,2428,60
4336,Structural+AC0-Partial Collapse,6234,60
4343,Structural+AC0-Partial Collapse,219,60
4340,Structural+AC0-Collapse,103,60
4396,Structural+AC0-One Vehicle Collision With Building Damage,482,60
4401,Structural+AC0-Ice Condition,330,60
4403,Structural+AC0-Car into store,357,60
4405,Structural+AC0-Car into Building,313,60
4415,Structural+AC0-Falling Debris,69,60
4472,Structural+AC0-Stability Problem,1604,60
4473,Structural+AC0-Unstable Balcony,253,60
7078,Structural+AC0-Construction Accident,248,60
7068,Structural+AC0-Stability Problem,131,60
7079,Structural+AC0-Parapet,208,60
5000,Structural+AC0-Collapse,6234,60
4478,Structural+AC0-Sidewalk Shed,1390,60
4480,Structural+AC0-Collapse,177,60
4520,Structural+AC0-Street Collapse,3253,60
7055,Structural+AC0-Construction Accident,134,60
7219,Structural+AC0-Bricks,2451,60
7097,Structural+AC0-Construction Accident,202,60
7209,Structural+AC0-Land Slide from Rain,141,60
7099,Structural+AC0-Collapse,6234,60
5115,Structural+AC0-Evacuation,6234,60
7131,Structural+AC0-Other,207,60
4573,Structural+AC0-Construction Accident,178,60
7119,Structural+AC0-Street Collapse,1031,60
4591,Structural+AC0-Scaffold,57,60
4614,Structural+AC0-Collapse,171,60
4616,Structural+AC0-Parapet,103,60
7182,Structural+AC0-Street Collapse,548,60
7161,Structural+AC0-Street Collapse,1024,60
7143,Structural+AC0-Scaffold,136,60
4633,Structural+AC0-Partial Collapse,113,60
7121,Structural+AC0-Stability Problem,1530,60
7222,Structural+AC0-Confined Space,251,60
7174,Structural+AC0-Construction Accident,60,60
7136,Structural+AC0-Partial Collapse,341,60
4657,Structural+AC0-Collapse,6234,60
7163,Structural+AC0-Street Collapse,153,60
4643,Structural+AC0-Partial Collapse,174,60
4644,Structural+AC0-Other,826,60
7150,Structural+AC0-Bricks,91,60
4674,Structural+AC0-Stability Problem,6234,60
4691,Structural+AC0-Street Collapse,6234,60
4666,Structural+AC0-Scaffold,155,60
7271,Structural+AC0-Collapse,874,60
4667,Structural+AC0-Construction Accident,82,60
4669,Structural+AC0-Scaffold,92,60
7260,Structural+AC0-Falling Debris,289,60
7203,Structural+AC0-Scaffold,193,60
4690,Structural+AC0-Stability Problem,91,60
7272,Structural+AC0-Scaffold,156,60
4695,Structural+AC0-Collapse,1206,60
4700,Structural+AC0-Scaffold,370,60
4720,Structural+AC0-Partial Collapse,414,60
7273,Structural+AC0-Collapse,162,60
7232,Structural+AC0-Stability Problem,6234,60
4761,Structural+AC0-Construction Accident,71,60
4766,Structural+AC0-Falling Debris,374,60
