,Incident Type,Response Time,minute
4452,Law Enforcement+AC0-Suspicious Package,1,60
4455,Law Enforcement+AC0-Suspicious Package,171,60
4456,Law Enforcement+AC0-Suspicious Package,14,60
7064,Law Enforcement+AC0-Suspicious Package,71,60
7065,Law Enforcement+AC0-Device,40,60
7094,Law Enforcement+AC0-Suspicious Package,54,60
7066,Law Enforcement+AC0-Suspicious Package,106,60
4475,Law Enforcement+AC0-Suspicious Vehicle,56,60
7082,Law Enforcement+AC0-Suspicious Package,1145,60
7157,Law Enforcement+AC0-Suspicious Package,67,60
7095,Law Enforcement+AC0-Suspicious Package,73,60
4502,Law Enforcement+AC0-Suspicious Package,74,60
4516,Law Enforcement+AC0-Residence Search,245,60
7096,Law Enforcement+AC0-Suspicious Package,72,60
7128,Law Enforcement+AC0-Suspicious Package,85,60
7201,Law Enforcement+AC0-Suspicious Package,47,60
4544,Law Enforcement+AC0-Suspicious Package,172,60
4568,Law Enforcement+AC0-Suspicious Package,34,60
7098,Law Enforcement+AC0-Report of a Bomb Threat,93,60
4793,Law Enforcement+AC0-Suspicious Package,33,60
5147,Law Enforcement+AC0-Bomb Threat,64,60
7141,Law Enforcement+AC0-Suspicious Package,67,60
4586,Law Enforcement+AC0-Suspicious Package,67,60
7234,Law Enforcement+AC0-Suspicious Package,1145,60
4588,Law Enforcement+AC0-Other,283,60
4592,Law Enforcement+AC0-Suspicious Package,1145,60
7132,Law Enforcement+AC0-Suspicious Package,57,60
4656,Law Enforcement+AC0-Other,1145,60
4615,Law Enforcement+AC0-Suspicious Package,31,60
7134,Law Enforcement+AC0-Suspicious Package,46,60
4621,Law Enforcement+AC0-Suspicious Package,26,60
7259,Law Enforcement+AC0-Suspicious Package,1145,60
7120,Law Enforcement+AC0-Suspicious Package,34,60
7122,Law Enforcement+AC0-Suspicious Package,74,60
7123,Law Enforcement+AC0-Suspicious Package,53,60
4639,Law Enforcement+AC0-Suspicious Package,39,60
7146,Law Enforcement+AC0-Device,83,60
7147,Law Enforcement+AC0-Device,61,60
7149,Law Enforcement+AC0-Device,166,60
4645,Law Enforcement+AC0-Haz Mat,88,60
7153,Law Enforcement+AC0-Suspicious Package,35,60
7164,Law Enforcement+AC0-Suspicious Package,84,60
7237,Law Enforcement+AC0-Suspicious Package,7,60
4663,Law Enforcement+AC0-Haz Mat,1145,60
4658,Law Enforcement+AC0-Haz Mat,64,60
4665,Law Enforcement+AC0-Other,1145,60
4660,Law Enforcement+AC0-Device,61,60
4661,Law Enforcement+AC0-Suspicious Package,44,60
4664,Law Enforcement+AC0-Suspicious Package,789,60
7184,Law Enforcement+AC0-Suspicious Package,119,60
4911,Law Enforcement+AC0-Other,1145,60
4751,Law Enforcement+AC0-Suspicious Package,35,60
7214,Law Enforcement+AC0-Suspicious Package,68,60
7218,Law Enforcement+AC0-Suspicious Package,1145,60
4785,Law Enforcement+AC0-Suspicious Package,270,60
7287,Law Enforcement+AC0-Suspicious Package,29,60
4799,Law Enforcement+AC0-Suspicious Package,34,60
4802,Law Enforcement+AC0-Suspicious Package,78,60
7284,Law Enforcement+AC0-Suspicious Package,174,60
4805,Law Enforcement+AC0-Suspicious Package,85,60
4807,Law Enforcement+AC0-Suspicious Package,74,60
4838,Law Enforcement+AC0-Haz Mat,1145,60
4841,Law Enforcement+AC0-Suspicious Package,1145,60
7263,Law Enforcement+AC0-Other,1145,60
4844,Law Enforcement+AC0-Other,1145,60
7246,Law Enforcement+AC0-Suspicious Package,23,60
4843,Law Enforcement+AC0-Suspicious Package,38,60
4845,Law Enforcement+AC0-Suspicious Package,74,60
7257,Law Enforcement+AC0-Suspicious Package,55,60
4855,Law Enforcement+AC0-Suspicious Package,9,60
5271,Law Enforcement+AC0-Suspicious Package,1145,60
4856,Law Enforcement+AC0-Suspicious Package,59,60
4875,Law Enforcement+AC0-Suspicious Package,46,60
7264,Law Enforcement+AC0-Suspicious Package,22,60
7267,Law Enforcement+AC0-Suspicious Package,30,60
4891,Law Enforcement+AC0-Suspicious Package,89,60
4894,Law Enforcement+AC0-Suspicious Package,61,60
4896,Law Enforcement+AC0-Suspicious Package,67,60
4958,Law Enforcement+AC0-Suspicious Package,1145,60
4953,Law Enforcement+AC0-Suspicious Package,43,60
7309,Law Enforcement+AC0-Other,868,60
7286,Law Enforcement+AC0-Suspicious Package,32,60
5016,Law Enforcement+AC0-Suspicious Package,1145,60
4978,Law Enforcement+AC0-Suspicious Package,1145,60
4962,Law Enforcement+AC0-Suspicious Package,77,60
4974,Law Enforcement+AC0-Suspicious Package,460,60
7332,Law Enforcement+AC0-Suspicious Package,92,60
5048,Law Enforcement+AC0-Other,1145,60
4987,Law Enforcement+AC0-Suspicious Package,86,60
5025,Law Enforcement+AC0-Suspicious Package,35,60
5043,Law Enforcement+AC0-Suspicious Package,69,60
5044,Law Enforcement+AC0-Suspicious Package,325,60
7336,Law Enforcement+AC0-Explosion,29,60
5072,Law Enforcement+AC0-Device,588,60
7526,Law Enforcement+AC0-Suspicious Package,1145,60
7342,Law Enforcement+AC0-Suspicious Package,70,60
7373,Law Enforcement+AC0-Other,1145,60
5100,Law Enforcement+AC0-Suspicious Package,110,60
5104,Law Enforcement+AC0-Device,53,60
5130,Law Enforcement+AC0-Mobilization,79,60
5188,Law Enforcement+AC0-Mobilization,596,60
5192,Law Enforcement+AC0-Suspicious Package,41,60
