,Incident Type,Response Time,minute
4563,Utility+AC0-Electrical,65,60
7158,Utility+AC0-Power Outage,560,60
7086,Utility+AC0-Sink Hole,1963,60
7100,Utility+AC0-Gas Service Line,212,60
5088,Utility+AC0-Gas Main Rupture,189,60
5533,Utility+AC0-Manhole,1104,60
6258,Utility+AC0-Gas High Pressure,89,60
7118,Utility+AC0-Gas Service Line,2033,60
7221,Utility+AC0-Water Main,1369,60
7133,Utility+AC0-Gas Service Line,0,60
4620,Utility+AC0-Water Main,215,60
4634,Utility+AC0-Gas High Pressure,67,60
4641,Utility+AC0-Gas Main Rupture,2951,60
4640,Utility+AC0-Water Main,214,60
4642,Utility+AC0-Power Outage,134,60
4646,Utility+AC0-Water Main,1411,60
7152,Utility+AC0-Water Main,410,60
4648,Utility+AC0-Other,74,60
4670,Utility+AC0-Other,51,60
4689,Utility+AC0-Transformer,156,60
4692,Utility+AC0-Phone Outage,466,60
4694,Utility+AC0-Water Main,519,60
4739,Utility+AC0-Water Main,1251,60
4740,Utility+AC0-Power Outage,126,60
4757,Utility+AC0-Gas High Pressure,386,60
4755,Utility+AC0-Other,15,60
7274,Utility+AC0-Power Outage,242,60
4758,Utility+AC0-Other,113,60
4759,Utility+AC0-Water Main,27,60
4760,Utility+AC0-Gas Low Pressure,93,60
4782,Utility+AC0-Water Main,686,60
7283,Utility+AC0-Gas Main Rupture,145,60
4808,Utility+AC0-Water Main,283,60
4821,Utility+AC0-Water Main,445,60
6333,Utility+AC0-Gas Main Rupture,2951,60
4840,Utility+AC0-Electric Feeder Cable,438,60
4585,Utility+AC0-Water Main,2951,60
4384,Utility+AC0-Water Main,2951,60
4846,Utility+AC0-Water Main,34,60
4851,Utility+AC0-Water Main,554,60
4853,Utility+AC0-Water Main,837,60
4780,Utility+AC0-Water Main,2951,60
4874,Utility+AC0-Gas Service Line,112,60
4912,Utility+AC0-Water Main,90,60
4959,Utility+AC0-Power Outage,2951,60
4919,Utility+AC0-Transformer,720,60
7306,Utility+AC0-Other,541,60
4920,Utility+AC0-Water Main,254,60
4937,Utility+AC0-Gas Main Rupture,317,60
4940,Utility+AC0-Water Main,2136,60
4939,Utility+AC0-Power Outage,310,60
4955,Utility+AC0-Water Main,608,60
7298,Utility+AC0-Sewer Service,2951,60
4976,Utility+AC0-Other,650,60
4982,Utility+AC0-Water Main,1863,60
5923,Utility+AC0-Gas Main Rupture,2951,60
7296,Utility+AC0-Gas Service Line,192,60
7299,Utility+AC0-Power Outage,207,60
7302,Utility+AC0-Other,35,60
5017,Utility+AC0-Power Outage,144,60
7307,Utility+AC0-Water Main,548,60
5020,Utility+AC0-Water Main,1773,60
4796,Utility+AC0-Power Outage,143,60
5042,Utility+AC0-Water Service Line,1831,60
5027,Utility+AC0-Water Main,608,60
5050,Utility+AC0-Gas High Pressure,81,60
5049,Utility+AC0-Gas Service Line,73,60
7319,Utility+AC0-Water Main,2277,60
