iteration,trainLoss,testLoss,trainRMSE-avg,testRMSE-avg
4860,5551580.0,10043770.0,2355.25,3167.955
4870,5531672.5,9946068.0,2350.79,3151.9577
4880,5472776.0,10067797.0,2338.14,3172.3145
4890,5513961.0,10048001.0,2347.02,3168.7942
4900,5469629.0,9969241.0,2336.83,3156.6246
4910,5351766.5,9915491.0,2312.07,3145.3434
4920,5543254.5,9922630.0,2352.65,3146.857
4930,5459993.0,9881359.0,2335.42,3142.2762
4940,5496184.0,9885076.0,2343.17,3143.361
4950,5604207.5,9972719.0,2365.94,3157.2438
4960,5573812.0,10057157.0,2359.33,3170.8302
4970,5393341.0,9888479.0,2320.93,3143.9821
4980,5582372.5,10006263.0,2361.34,3162.5496
4990,5428926.5,9967114.0,2328.66,3155.4783
5000,5339064.0,10259797.0,2309.09,3202.1948
5010,5258671.0,9759273.0,2291.78,3123.2627
5020,5315427.5,10035243.0,2304.01,3164.0948
5030,5403568.5,10146089.0,2323.36,3183.5722
5040,5397368.0,10451682.0,2321.84,3231.5922
5050,5244992.0,9934413.0,2288.71,3151.2654
5060,5176212.5,9919821.0,2273.14,3148.4816
5070,5530151.5,9962589.0,2350.41,3154.6805
5080,5404438.0,10020527.0,2323.14,3164.5818
5090,5272828.0,9923735.0,2294.63,3149.8571
5100,5347781.0,10025984.0,2311.04,3165.8841
5110,5247195.5,10011304.0,2288.89,3163.0402
5120,5409861.5,9979633.0,2324.18,3157.7619
5130,5252666.0,10063515.0,2290.24,3171.5855
5140,5227508.5,9687666.0,2284.99,3111.9257
5150,5236242.5,9945746.0,2286.44,3151.9549
5160,5448788.5,10264734.0,2332.26,3203.5823
5170,5570398.5,9955078.0,2358.8,3154.6472
5180,5172618.0,10085993.0,2272.37,3175.0154
5190,5074773.0,10175918.0,2250.35,3189.2232
5200,5086791.0,10171865.0,2253.31,3188.9797
5210,5373560.5,10082486.0,2315.3,3174.9587
5220,5139138.0,10028589.0,2264.99,3166.5057
5230,5082737.5,9989034.0,2252.18,3160.2426
5240,5084079.0,9756067.0,2252.72,3123.0822
5250,5202876.5,9997846.0,2279.18,3161.371
5260,5180222.0,10054263.0,2273.98,3170.628
5270,5106132.0,10061970.0,2257.16,3171.6986
5280,5096746.0,9936974.0,2255.42,3152.0369
5290,4979538.0,9931630.0,2228.96,3150.7635
5300,5550695.5,9926304.0,2353.45,3150.0068
5310,5058023.5,10063594.0,2246.44,3171.9769
5320,5553773.0,9842168.0,2354.76,3136.3387
5330,5409931.5,10054078.0,2324.11,3170.134
5340,5082604.0,9998633.0,2252.33,3160.8526
5350,5358843.5,9967784.0,2313.9,3156.3411
5360,5112293.0,9795202.0,2259.24,3128.6542
5370,5155198.5,10184148.0,2268.77,3190.1048
5380,5075137.5,10131477.0,2250.59,3181.9622
