Incident Type,Creation Date,Response Time
Utility-Gas High Pressure,2016-06-30,639
Fire-10-76 (Commercial High Rise Fire),2016-07-02,100
Fire-Sensitive Location,2016-07-06,168
Fire-3rd Alarm,2016-07-07,1217
Utility-Power Outage,2016-07-07,408
Utility-Other,2016-07-08,61
Utility-Power Outage,2016-07-09,83
Utility-Power Outage,2016-07-18,159
Utility-Power Outage,2016-07-18,145
Utility-Gas Main Rupture,2016-07-22,60
Utility-Power Outage,2016-07-22,751
Utility-Other,2016-07-24,123
Utility-Water Service Line,2016-07-28,120
Utility-Other,2016-07-29,86
Fire-3rd Alarm,2016-08-02,3445
Fire-3rd Alarm,2016-08-02,245
Fire-5th Alarm,2016-08-03,3857
Fire-Other,2016-08-05,4134
Fire-10-76 (Commercial High Rise Fire),2016-08-09,99
Fire-4th Alarm,2016-08-09,1196
Fire-1st Alarm,2016-08-09,219
Utility-Power Outage,2016-08-12,1839
Utility-Other,2016-08-12,4197
Utility-Power Outage,2016-08-12,734
Utility-Power Outage,2016-08-14,780
Utility-Power Outage,2016-08-16,78
Utility-Gas Main Rupture,2016-08-17,110
Fire-1st Alarm,2016-08-20,1347
Fire-Sensitive Location,2016-08-21,83
Fire-Manhole,2016-08-22,273
Utility-Water Service Line,2016-08-25,1361
Fire-Sensitive Location,2016-08-25,158
Fire-1st Alarm,2016-08-26,111
Utility-Other,2016-08-31,3279
Fire-4th Alarm,2016-09-03,305
Utility-Other,2016-09-07,112
Utility-Water Service Line,2016-09-07,1441
Fire-Manhole,2016-09-08,1110
Utility-Power Outage,2016-09-09,2937
Utility-Power Outage,2016-09-10,155
Utility-Power Outage,2016-09-10,161
Utility-Water Service Line,2016-09-13,719
Utility-Other,2016-09-16,1371
Fire-Explosion,2016-09-17,4510
Utility-Power Outage,2016-09-20,708
Fire-Explosion,2016-09-21,65
Utility-Other,2016-09-25,1079
Utility-Gas Main Rupture,2016-09-30,104
Fire-3rd Alarm,2016-10-01,239
Fire-3rd Alarm,2016-10-01,453
Utility-Other,2016-10-03,689
Fire-1st Alarm,2016-10-06,91
Utility-Manhole,2016-10-10,702
Fire-1st Alarm,2016-10-10,86
Utility-Gas High Pressure,2016-10-11,2965
Utility-Other,2016-10-12,132
Fire-10-76 (Commercial High Rise Fire),2016-10-13,4360
Utility-Water Service Line,2016-10-14,328
