Incident Type,Creation Date,Response Time,Incident Number
Fire-2nd Alarm,2015-01-14,150,2
Fire-Explosion,2015-01-15,166,9
Fire-2nd Alarm,2015-01-17,310,2
Fire-2nd Alarm,2015-01-17,1254,2
Fire-2nd Alarm,2015-01-19,293,2
Fire-10-77 (Residential High Rise Fire),2015-01-20,284,16
Fire-1st Alarm,2015-01-20,81,4
Fire-1st Alarm,2015-01-21,16,4
Fire-1st Alarm,2015-01-21,44,4
Fire-10-76 (Commercial High Rise Fire),2015-01-25,53,15
Fire-2nd Alarm,2015-01-26,253,2
Fire-2nd Alarm,2015-01-27,1,2
Fire-2nd Alarm,2015-01-29,966,2
Fire-Manhole,2015-01-29,1013,8
Fire-2nd Alarm,2015-01-30,194,2
Fire-2nd Alarm,2015-01-31,197,2
Fire-2nd Alarm,2015-02-01,367,2
Fire-Haz Mat,2015-02-02,830,11
Fire-2nd Alarm,2015-02-04,247,2
Fire-Haz Mat,2015-02-05,180,11
Fire-School,2015-02-10,119,3
Fire-Haz Mat,2015-02-10,57,11
Fire-2nd Alarm,2015-02-12,93,2
Fire-2nd Alarm,2015-02-12,375,2
Fire-2nd Alarm,2015-02-12,289,2
Fire-1st Alarm,2015-02-14,78,4
Fire-2nd Alarm,2015-02-15,177,2
Fire-2nd Alarm,2015-02-16,208,2
Fire-2nd Alarm,2015-02-16,165,2
Fire-2nd Alarm,2015-02-16,227,2
Fire-2nd Alarm,2015-02-18,151,2
Fire-2nd Alarm,2015-02-18,52,2
Fire-10-77 (Residential High Rise Fire),2015-02-19,135,16
Fire-School,2015-02-20,225,3
Fire-Explosion,2015-02-20,122,9
Fire-2nd Alarm,2015-02-20,119,2
Fire-Explosion,2015-02-23,214,9
Fire-10-77 (Residential High Rise Fire),2015-02-24,299,16
Fire-2nd Alarm,2015-02-24,187,2
Fire-2nd Alarm,2015-02-25,1051,2
Fire-3rd Alarm,2015-02-27,109,5
Fire-Manhole,2015-03-02,136,8
Fire-Manhole,2015-03-04,3105,8
Fire-Manhole,2015-03-04,21,8
Fire-Sensitive Location,2015-03-04,87,6
Fire-10-76 (Commercial High Rise Fire),2015-03-05,87,15
Fire-Other,2015-03-05,276,17
Fire-2nd Alarm,2015-03-05,130,2
Fire-Haz Mat,2015-03-08,22,11
Fire-Other,2015-03-10,330,17
Fire-3rd Alarm,2015-03-10,206,5
Fire-3rd Alarm,2015-03-11,275,5
Fire-Manhole,2015-03-11,2392,8
Fire-School,2015-03-13,42,3
Fire-Other,2015-03-13,150,17
Fire-1st Alarm,2015-03-16,65,4
Fire-2nd Alarm,2015-03-18,122,2
Fire-2nd Alarm,2015-03-18,220,2
Fire-4th Alarm,2015-03-18,2311,1
Fire-2nd Alarm,2015-03-19,40,2
Fire-10-77 (Residential High Rise Fire),2015-03-19,907,16
Fire-2nd Alarm,2015-03-20,3633,2
Fire-2nd Alarm,2015-03-21,3493,2
Fire-2nd Alarm,2015-03-22,1649,2
Fire-Sensitive Location,2015-03-22,30,6
Fire-2nd Alarm,2015-03-24,202,2
Fire-2nd Alarm,2015-03-25,93,2
Fire-2nd Alarm,2015-03-26,113,2
Fire-3rd Alarm,2015-03-27,1234,5
Fire-1st Alarm,2015-03-28,173,4
Fire-2nd Alarm,2015-03-29,79,2
Fire-1st Alarm,2015-03-30,208,4
Fire-3rd Alarm,2015-04-02,214,5
Fire-2nd Alarm,2015-04-02,161,2
Fire-2nd Alarm,2015-04-02,138,2
Fire-2nd Alarm,2015-04-02,154,2
Fire-2nd Alarm,2015-04-03,191,2
Fire-1st Alarm,2015-04-03,52,4
Fire-2nd Alarm,2015-04-04,265,2
Fire-Other,2015-04-05,184,17
Fire-10-77 (Residential High Rise Fire),2015-04-05,34,16
Fire-2nd Alarm,2015-04-07,250,2
Fire-3rd Alarm,2015-04-07,995,5
Fire-2nd Alarm,2015-04-08,160,2
Fire-2nd Alarm,2015-04-08,134,2
Fire-3rd Alarm,2015-04-08,2627,5
Fire-2nd Alarm,2015-04-09,216,2
Fire-2nd Alarm,2015-04-10,133,2
Fire-10-76 (Commercial High Rise Fire),2015-04-11,140,15
Fire-2nd Alarm,2015-04-12,196,2
Fire-2nd Alarm,2015-04-13,195,2
Fire-Haz Mat,2015-04-15,79,11
Fire-2nd Alarm,2015-04-17,329,2
Fire-2nd Alarm,2015-04-21,132,2
Fire-Other,2015-04-21,98,17
Fire-Haz Mat,2015-04-21,178,11
Fire-2nd Alarm,2015-04-23,116,2
Fire-2nd Alarm,2015-04-28,304,2
Fire-2nd Alarm,2015-04-30,119,2
Fire-2nd Alarm,2015-05-03,438,2
Fire-2nd Alarm,2015-05-04,133,2
Fire-2nd Alarm,2015-05-06,770,2
Fire-2nd Alarm,2015-05-07,186,2
Fire-Haz Mat,2015-05-07,54,11
Fire-2nd Alarm,2015-05-08,679,2
Fire-2nd Alarm,2015-05-08,227,2
Fire-Explosion,2015-05-08,82,9
Fire-3rd Alarm,2015-05-11,463,5
Fire-School,2015-05-12,63,3
Fire-1st Alarm,2015-05-13,88,4
Fire-2nd Alarm,2015-05-14,221,2
Fire-2nd Alarm,2015-05-14,165,2
Fire-3rd Alarm,2015-05-16,521,5
Fire-Explosion,2015-05-16,150,9
Fire-1st Alarm,2015-05-17,42,4
Fire-2nd Alarm,2015-05-18,89,2
Fire-Other,2015-05-18,228,17
Fire-2nd Alarm,2015-05-18,200,2
Fire-Haz Mat,2015-05-21,95,11
Fire-Haz Mat,2015-05-21,70,11
Fire-2nd Alarm,2015-05-22,313,2
Fire-1st Alarm,2015-05-22,610,4
Fire-2nd Alarm,2015-05-24,198,2
Fire-10-76 (Commercial High Rise Fire),2015-05-24,24,15
Fire-3rd Alarm,2015-05-25,136,5
Fire-3rd Alarm,2015-05-29,226,5
Fire-2nd Alarm,2015-05-30,235,2
Fire-2nd Alarm,2015-05-31,351,2
Fire-2nd Alarm,2015-05-31,1130,2
Fire-2nd Alarm,2015-05-31,11,2
Fire-10-76 (Commercial High Rise Fire),2015-06-03,76,15
Fire-10-76 (Commercial High Rise Fire),2015-06-03,96,15
Fire-2nd Alarm,2015-06-06,501,2
Fire-3rd Alarm,2015-06-08,329,5
Fire-10-76 (Commercial High Rise Fire),2015-06-10,83,15
Fire-1st Alarm,2015-06-11,85,4
Fire-1st Alarm,2015-06-12,92,4
Fire-Manhole,2015-06-12,269,8
Fire-10-77 (Residential High Rise Fire),2015-06-15,287,16
Fire-2nd Alarm,2015-06-15,114,2
Fire-Manhole,2015-06-15,582,8
Fire-2nd Alarm,2015-06-16,149,2
Fire-1st Alarm,2015-06-17,86,4
Fire-Other,2015-06-18,108,17
Fire-1st Alarm,2015-06-19,3776,4
Fire-10-77 (Residential High Rise Fire),2015-06-19,166,16
Fire-2nd Alarm,2015-06-22,266,2
Fire-1st Alarm,2015-06-23,155,4
Fire-Manhole,2015-06-25,170,8
Fire-2nd Alarm,2015-06-25,370,2
Fire-2nd Alarm,2015-06-26,188,2
Fire-10-77 (Residential High Rise Fire),2015-06-26,372,16
Fire-Haz Mat,2015-06-28,53,11
Fire-2nd Alarm,2015-06-30,98,2
Fire-2nd Alarm,2015-07-04,1182,2
Fire-1st Alarm,2015-07-05,29,4
Fire-2nd Alarm,2015-07-07,128,2
Fire-Manhole,2015-07-07,150,8
Fire-1st Alarm,2015-07-08,45,4
Fire-Collapse,2015-07-09,1329,14
Fire-3rd Alarm,2015-07-12,304,5
Fire-Manhole,2015-07-13,240,8
Fire-2nd Alarm,2015-07-14,466,2
Fire-Collapse,2015-07-16,656,14
Fire-Hospital,2015-07-19,74,7
Fire-Manhole,2015-07-20,2137,8
Fire-10-77 (Residential High Rise Fire),2015-07-20,67,16
Fire-Other,2015-07-20,34,17
Fire-3rd Alarm,2015-07-22,643,5
Fire-2nd Alarm,2015-07-25,1498,2
Fire-1st Alarm,2015-07-27,48,4
Fire-2nd Alarm,2015-07-28,500,2
Fire-2nd Alarm,2015-07-29,106,2
Fire-Manhole,2015-07-30,563,8
Fire-Collapse,2015-07-31,77,14
Fire-2nd Alarm,2015-08-06,243,2
Fire-3rd Alarm,2015-08-09,191,5
Fire-2nd Alarm,2015-08-13,323,2
Fire-1st Alarm,2015-08-14,412,4
Fire-1st Alarm,2015-08-14,131,4
Fire-10-76 (Commercial High Rise Fire),2015-08-17,65,15
Fire-2nd Alarm,2015-08-18,79,2
Fire-3rd Alarm,2015-08-20,410,5
Fire-2nd Alarm,2015-08-22,107,2
Fire-2nd Alarm,2015-08-23,136,2
Fire-10-77 (Residential High Rise Fire),2015-08-23,461,16
Fire-Hospital,2015-08-26,52,7
Fire-1st Alarm,2015-08-26,46,4
Fire-1st Alarm,2015-08-27,285,4
Fire-1st Alarm,2015-08-28,221,4
Fire-2nd Alarm,2015-08-30,225,2
Fire-Manhole,2015-08-31,2233,8
Fire-3rd Alarm,2015-09-01,439,5
Fire-Other,2015-09-03,0,17
Fire-4th Alarm,2015-09-03,329,1
Fire-Haz Mat,2015-09-03,82,11
Fire-Haz Mat,2015-09-04,148,11
Fire-Manhole,2015-09-05,889,8
Fire-Hospital,2015-09-05,142,7
Fire-Haz Mat,2015-09-06,47,11
Fire-2nd Alarm,2015-09-08,40,2
Fire-1st Alarm,2015-09-09,445,4
Fire-Manhole,2015-09-13,1569,8
Fire-Haz Mat,2015-09-16,73,11
Fire-2nd Alarm,2015-09-20,610,2
Fire-1st Alarm,2015-09-23,62,4
Fire-10-77 (Residential High Rise Fire),2015-09-23,69,16
Fire-2nd Alarm,2015-09-23,145,2
Fire-1st Alarm,2015-09-24,91,4
Fire-2nd Alarm,2015-09-28,120,2
Fire-Manhole,2015-09-29,870,8
Fire-4th Alarm,2015-09-30,2429,1
Fire-2nd Alarm,2015-09-30,131,2
Fire-School,2015-10-07,99,3
Fire-3rd Alarm,2015-10-08,225,5
Fire-2nd Alarm,2015-10-09,171,2
Fire-Other,2015-10-13,105,17
Fire-Haz Mat,2015-10-13,785,11
Fire-Other,2015-10-14,703,17
Fire-1st Alarm,2015-10-14,71,4
Fire-2nd Alarm,2015-10-16,159,2
Fire-Other,2015-10-17,93,17
Fire-2nd Alarm,2015-10-20,233,2
Fire-Haz Mat,2015-10-21,62,11
Fire-1st Alarm,2015-10-21,83,4
Fire-10-77 (Residential High Rise Fire),2015-10-22,1319,16
Fire-2nd Alarm,2015-10-23,127,2
Fire-2nd Alarm,2015-10-24,199,2
Fire-3rd Alarm,2015-10-25,320,5
Fire-Collapse,2015-10-29,162,14
Fire-2nd Alarm,2015-11-01,113,2
Fire-Manhole,2015-11-01,1066,8
Fire-Manhole,2015-11-05,708,8
Fire-Haz Mat,2015-11-06,67,11
Fire-10-76 (Commercial High Rise Fire),2015-11-07,65,15
Fire-3rd Alarm,2015-11-08,388,5
Fire-Manhole,2015-11-09,687,8
Fire-Haz Mat,2015-11-10,53,11
Fire-2nd Alarm,2015-11-14,74,2
Fire-2nd Alarm,2015-11-14,2744,2
Fire-2nd Alarm,2015-11-14,97,2
Fire-Haz Mat,2015-11-16,63,11
Fire-2nd Alarm,2015-11-17,128,2
Fire-2nd Alarm,2015-11-17,161,2
Fire-2nd Alarm,2015-11-18,103,2
Fire-1st Alarm,2015-11-19,11,4
Fire-2nd Alarm,2015-11-23,101,2
Fire-3rd Alarm,2015-11-25,161,5
Fire-2nd Alarm,2015-11-25,130,2
Fire-2nd Alarm,2015-11-25,146,2
Fire-2nd Alarm,2015-11-25,1882,2
Fire-2nd Alarm,2015-11-26,26,2
Fire-2nd Alarm,2015-11-26,138,2
Fire-10-77 (Residential High Rise Fire),2015-11-26,120,16
Fire-2nd Alarm,2015-11-28,260,2
Fire-2nd Alarm,2015-11-30,112,2
Fire-2nd Alarm,2015-11-30,122,2
Fire-Other,2015-12-01,408,17
Fire-2nd Alarm,2015-12-01,990,2
Fire-Haz Mat,2015-12-02,135,11
Fire-2nd Alarm,2015-12-02,183,2
Fire-10-77 (Residential High Rise Fire),2015-12-02,99,16
Fire-Manhole,2015-12-04,1064,8
Fire-Manhole,2015-12-05,182,8
Fire-2nd Alarm,2015-12-05,167,2
Fire-2nd Alarm,2015-12-06,105,2
Fire-3rd Alarm,2015-12-06,3085,5
Fire-10-77 (Residential High Rise Fire),2015-12-06,71,16
Fire-2nd Alarm,2015-12-07,421,2
Fire-Haz Mat,2015-12-09,1768,11
Fire-2nd Alarm,2015-12-11,103,2
Fire-3rd Alarm,2015-12-12,118,5
Fire-Other,2015-12-14,292,17
Fire-Haz Mat,2015-12-15,10,11
Fire-Sensitive Location,2015-12-15,130,6
Fire-2nd Alarm,2015-12-18,122,2
Fire-Haz Mat,2015-12-18,49,11
Fire-Other,2015-12-19,204,17
Fire-Haz Mat,2015-12-20,46,11
Fire-Haz Mat,2015-12-21,171,11
Fire-Collapse,2015-12-21,58,14
Fire-2nd Alarm,2015-12-21,261,2
Fire-1st Alarm,2015-12-22,303,4
Fire-1st Alarm,2015-12-26,114,4
Fire-2nd Alarm,2015-12-27,150,2
Fire-2nd Alarm,2015-12-28,108,2
Fire-Manhole,2015-12-29,769,8
Fire-1st Alarm,2016-01-01,417,4
Fire-2nd Alarm,2016-01-02,171,2
Fire-2nd Alarm,2016-01-03,139,2
Fire-Haz Mat,2016-01-03,45,11
