Incident Type,Creation Date,Response Time,Incident Number
Structural-Scaffold,2012-08-25,88,3
Structural-Falling Debris,2012-08-25,74,10
Structural-Collapse,2012-09-10,1457,5
Structural-Construction Accident,2012-09-18,39,1
Structural-Life Safety Violations,2012-09-24,193,6
Structural-Collapse,2012-10-03,1285,5
Structural-Life Safety Violations,2012-10-09,263,6
Structural-Stability Problem,2012-10-12,291,11
Structural-Partial Collapse,2012-10-16,532,12
Structural-Collapse,2012-10-19,16,5
Structural-Scaffold,2012-10-22,152,3
Structural-Confined Space,2012-10-25,70,2
Structural-Crane,2012-10-29,113,13
Structural-Collapse,2012-10-30,3804,5
Structural-Collapse,2012-10-30,3975,5
Structural-Partial Collapse,2012-10-30,1015,12
Structural-Construction Accident,2012-11-01,40,1
Structural-Life Safety Violations,2012-11-03,296,6
Structural-Life Safety Violations,2012-11-16,9,6
Structural-Scaffold,2012-11-25,108,3
Structural-Crane,2012-11-26,788,13
Structural-Scaffold,2012-12-02,48,3
Structural-Stability Problem,2012-12-04,102,11
Structural-Scaffold,2012-12-05,153,3
Structural-Stability Problem,2012-12-12,136,11
Structural-Sidewalk Shed,2012-12-12,154,9
Structural-Sidewalk Shed,2012-12-13,41,9
Structural-Partial Collapse,2012-12-18,122,12
Structural-Scaffold,2012-12-21,420,3
Structural-Scaffold,2012-12-21,455,3
Structural-Scaffold,2012-12-26,113,3
Structural-Sidewalk Shed,2012-12-31,86,9
Structural-Sidewalk Shed,2013-01-07,289,9
Structural-Collapse,2013-01-08,133,5
Structural-Scaffold,2013-01-09,41,3
Structural-Crane,2013-01-09,2748,13
Structural-Construction Accident,2013-01-17,108,1
Structural-Sidewalk Shed,2013-01-24,91,9
Structural-Life Safety Violations,2013-01-29,117,6
Structural-Sidewalk Shed,2013-01-31,192,9
Structural-Sidewalk Shed,2013-01-31,42,9
Structural-Life Safety Violations,2013-02-14,851,6
Structural-Scaffold,2013-02-17,399,3
Structural-Life Safety Violations,2013-02-19,145,6
Structural-Construction Accident,2013-02-20,49,1
Structural-Stability Problem,2013-02-21,951,11
Structural-Falling Debris,2013-02-23,254,10
Structural-Construction Accident,2013-02-23,38,1
Structural-Collapse,2013-02-23,83,5
Structural-Life Safety Violations,2013-02-28,123,6
Structural-Life Safety Violations,2013-03-07,911,6
Structural-Life Safety Violations,2013-03-14,96,6
Structural-Stability Problem,2013-03-16,65,11
Structural-Falling Debris,2013-03-19,845,10
Structural-Partial Collapse,2013-03-22,88,12
Structural-Scaffold,2013-03-30,1037,3
Structural-Stability Problem,2013-04-02,112,11
Structural-Construction Accident,2013-04-05,136,1
Structural-Construction Accident,2013-04-15,183,1
Structural-Stability Problem,2013-04-16,516,11
Structural-Scaffold,2013-04-16,179,3
Structural-Partial Collapse,2013-04-22,1366,12
Structural-Confined Space,2013-04-25,39,2
Structural-Stability Problem,2013-04-29,149,11
Structural-Construction Accident,2013-05-06,99,1
Structural-Construction Accident,2013-05-09,35,1
Structural-Collapse,2013-05-09,187,5
Structural-Collapse,2013-05-19,124,5
Structural-Confined Space,2013-05-21,148,2
Structural-Scaffold,2013-05-21,152,3
Structural-Scaffold,2013-05-23,1123,3
Structural-Stability Problem,2013-05-26,1367,11
Structural-Crane,2013-05-29,21,13
Structural-Bricks,2013-06-03,129,4
Structural-Street Collapse,2013-06-03,2485,7
Structural-Stability Problem,2013-06-07,211,11
Structural-Collapse,2013-06-11,749,5
Structural-Street Collapse,2013-06-14,203,7
Structural-Stability Problem,2013-06-20,168,11
Structural-Scaffold,2013-06-23,261,3
Structural-Collapse,2013-06-24,2491,5
Structural-Street Collapse,2013-06-25,152,7
Structural-Partial Collapse,2013-06-26,84,12
Structural-Sidewalk Shed,2013-07-04,120,9
Structural-Partial Collapse,2013-07-05,780,12
Structural-Bricks,2013-07-09,76,4
Structural-Construction Accident,2013-07-30,103,1
Structural-Stability Problem,2013-08-19,202,11
Structural-Sidewalk Shed,2013-08-23,267,9
Structural-Life Safety Violations,2013-08-23,187,6
Structural-Sidewalk Shed,2013-08-26,139,9
Structural-Street Collapse,2013-08-27,2940,7
Structural-Scaffold,2013-09-05,109,3
Structural-Life Safety Violations,2013-09-07,448,6
Structural-Street Collapse,2013-09-09,111,7
Structural-Stability Problem,2013-09-19,327,11
Structural-Collapse,2013-09-29,587,5
Structural-Construction Accident,2013-10-02,28,1
Structural-Life Safety Violations,2013-10-04,525,6
Structural-Falling Debris,2013-10-15,249,10
Structural-Scaffold,2013-10-31,146,3
Structural-Scaffold,2013-11-05,82,3
Structural-Construction Accident,2013-11-09,125,1
Structural-Construction Accident,2013-11-13,30,1
Structural-Construction Accident,2013-11-14,216,1
Structural-Scaffold,2013-11-15,117,3
Structural-Sidewalk Shed,2013-11-22,69,9
Structural-Crane,2013-11-24,136,13
Structural-Partial Collapse,2013-11-27,193,12
Structural-Collapse,2013-11-27,784,5
Structural-Scaffold,2013-12-04,57,3
Structural-Scaffold,2013-12-27,26,3
Structural-Scaffold,2014-01-01,47,3
Structural-Sidewalk Shed,2014-01-02,741,9
Structural-Scaffold,2014-01-07,588,3
Structural-Scaffold,2014-01-09,262,3
Structural-Stability Problem,2014-01-17,252,11
Structural-Stability Problem,2014-01-20,122,11
Structural-Life Safety Violations,2014-01-25,243,6
Structural-Stability Problem,2014-02-01,108,11
Structural-Scaffold,2014-02-01,43,3
Structural-Partial Collapse,2014-02-05,1585,12
Structural-Stability Problem,2014-02-12,584,11
Structural-Collapse,2014-02-13,459,5
Structural-Partial Collapse,2014-02-14,353,12
Structural-Collapse,2014-02-15,176,5
Structural-Partial Collapse,2014-02-15,2271,12
Structural-Stability Problem,2014-02-16,2428,11
Structural-Partial Collapse,2014-02-26,219,12
Structural-Collapse,2014-02-26,103,5
Structural-Falling Debris,2014-03-19,69,10
Structural-Stability Problem,2014-03-30,1604,11
Structural-Construction Accident,2014-04-02,248,1
Structural-Stability Problem,2014-04-04,131,11
Structural-Sidewalk Shed,2014-04-06,1390,9
Structural-Collapse,2014-04-07,177,5
Structural-Street Collapse,2014-04-11,3253,7
Structural-Construction Accident,2014-04-14,134,1
Structural-Bricks,2014-04-15,2451,4
Structural-Construction Accident,2014-04-16,202,1
Structural-Other,2014-05-15,207,8
Structural-Construction Accident,2014-05-15,178,1
Structural-Street Collapse,2014-05-19,1031,7
Structural-Scaffold,2014-05-21,57,3
Structural-Collapse,2014-05-24,171,5
Structural-Street Collapse,2014-05-27,548,7
Structural-Street Collapse,2014-05-28,1024,7
Structural-Scaffold,2014-05-29,136,3
Structural-Partial Collapse,2014-06-01,113,12
Structural-Stability Problem,2014-06-04,1530,11
Structural-Confined Space,2014-06-05,251,2
Structural-Construction Accident,2014-06-11,60,1
Structural-Partial Collapse,2014-06-17,341,12
Structural-Street Collapse,2014-06-18,153,7
Structural-Partial Collapse,2014-06-19,174,12
Structural-Other,2014-06-20,826,8
