Incident Type,Creation Date,Response Time,Incident Number
Law Enforcement-Suspicious Package,2012-10-28,47,1
Law Enforcement-Suspicious Package,2012-11-11,57,1
Law Enforcement-Suspicious Package,2012-11-12,61,1
Law Enforcement-Suspicious Package,2012-11-19,22,1
Law Enforcement-Suspicious Package,2012-11-20,29,1
Law Enforcement-Suspicious Package,2012-11-21,47,1
Law Enforcement-Suspicious Package,2012-11-28,16,1
Law Enforcement-Suspicious Package,2012-11-30,95,1
Law Enforcement-Suspicious Package,2012-12-07,46,1
Law Enforcement-Suspicious Package,2012-12-18,65,1
Law Enforcement-Suspicious Package,2012-12-29,539,1
Law Enforcement-Device,2013-01-04,20,2
Law Enforcement-Suspicious Package,2013-01-08,37,1
Law Enforcement-Suspicious Package,2013-01-15,43,1
Law Enforcement-Device,2013-01-20,298,2
Law Enforcement-Device,2013-02-09,44,2
Law Enforcement-Suspicious Package,2013-02-11,36,1
Law Enforcement-Device,2013-03-05,39,2
Law Enforcement-Suspicious Package,2013-03-11,31,1
Law Enforcement-Device,2013-03-14,33,2
Law Enforcement-Suspicious Package,2013-03-15,70,1
Law Enforcement-Suspicious Package,2013-03-16,10,1
Law Enforcement-Suspicious Package,2013-03-17,100,1
Law Enforcement-Suspicious Package,2013-03-18,8,1
Law Enforcement-Suspicious Package,2013-03-20,55,1
Law Enforcement-Suspicious Package,2013-03-26,8,1
Law Enforcement-Suspicious Package,2013-03-29,25,1
Law Enforcement-Suspicious Package,2013-03-29,75,1
Law Enforcement-Suspicious Package,2013-04-08,41,1
Law Enforcement-Suspicious Package,2013-04-16,42,1
Law Enforcement-Suspicious Package,2013-04-17,92,1
Law Enforcement-Device,2013-04-17,52,2
Law Enforcement-Suspicious Package,2013-04-17,43,1
Law Enforcement-Suspicious Package,2013-04-17,83,1
Law Enforcement-Suspicious Package,2013-04-17,92,1
Law Enforcement-Suspicious Package,2013-04-17,58,1
Law Enforcement-Suspicious Package,2013-04-18,77,1
Law Enforcement-Suspicious Package,2013-04-18,39,1
Law Enforcement-Suspicious Package,2013-04-18,39,1
Law Enforcement-Suspicious Package,2013-04-19,101,1
Law Enforcement-Suspicious Package,2013-04-19,59,1
Law Enforcement-Suspicious Package,2013-04-21,55,1
Law Enforcement-Suspicious Package,2013-04-22,211,1
Law Enforcement-Suspicious Package,2013-04-23,94,1
Law Enforcement-Suspicious Package,2013-04-23,63,1
Law Enforcement-Suspicious Package,2013-04-25,504,1
Law Enforcement-Suspicious Package,2013-04-30,61,1
Law Enforcement-Suspicious Package,2013-04-30,38,1
Law Enforcement-Suspicious Package,2013-04-30,100,1
Law Enforcement-Suspicious Package,2013-05-02,57,1
Law Enforcement-Device,2013-05-02,126,2
Law Enforcement-Suspicious Package,2013-05-06,49,1
Law Enforcement-Suspicious Package,2013-05-08,44,1
Law Enforcement-Suspicious Package,2013-05-10,76,1
Law Enforcement-Suspicious Package,2013-05-13,60,1
Law Enforcement-Suspicious Package,2013-05-13,14,1
Law Enforcement-Suspicious Package,2013-05-18,45,1
Law Enforcement-Suspicious Package,2013-05-21,69,1
Law Enforcement-Suspicious Package,2013-05-24,333,1
Law Enforcement-Suspicious Package,2013-05-27,59,1
Law Enforcement-Suspicious Package,2013-05-29,44,1
Law Enforcement-Suspicious Package,2013-05-31,48,1
Law Enforcement-Suspicious Package,2013-06-02,0,1
