Incident Type,Creation Date,Response Time,Incident Number
Utility-Power Outage,2012-09-07,72,4
Utility-Power Outage,2012-09-07,1342,4
Utility-Gas Main Rupture,2012-09-17,87,3
Utility-Gas Main Rupture,2012-10-01,42,3
Utility-Water Service Line,2012-10-10,1173,6
Utility-Power Outage,2012-10-11,246,4
Utility-Other,2012-10-16,110,9
Utility-Water Main,2012-10-17,1230,2
Utility-Water Service Line,2012-10-19,893,6
Utility-Water Main,2012-10-29,833,2
Utility-Power Outage,2012-10-29,154,4
Utility-Water Main,2012-10-29,264,2
Utility-Power Outage,2012-10-29,386,4
Utility-Power Outage,2012-10-29,3666,4
Utility-Gas Service Line,2012-10-30,2714,7
Utility-Water Service Line,2012-10-30,1910,6
Utility-Water Main,2012-10-31,115,2
Utility-Power Outage,2012-11-01,177,4
Utility-Gas Main Rupture,2012-11-11,55,3
Utility-Water Main,2012-11-17,59,2
Utility-Water Main,2012-11-18,259,2
Utility-Power Outage,2012-11-22,82,4
Utility-Power Outage,2012-11-23,76,4
Utility-Gas Service Line,2012-11-27,55,7
Utility-Water Main,2012-12-01,179,2
Utility-Water Service Line,2012-12-03,404,6
Utility-Gas Main Rupture,2012-12-04,1117,3
Utility-Power Outage,2012-12-21,150,4
Utility-Water Main,2012-12-26,1331,2
Utility-Water Service Line,2012-12-27,868,6
Utility-Gas Service Line,2013-01-02,24,7
Utility-Water Main,2013-01-05,3027,2
Utility-Manhole,2013-01-06,135,5
Utility-Water Main,2013-01-10,29,2
Utility-Water Main,2013-01-28,483,2
Utility-Water Main,2013-01-29,1830,2
Utility-Water Main,2013-01-29,545,2
Utility-Water Main,2013-02-04,41,2
Utility-Water Main,2013-02-07,1026,2
Utility-Power Outage,2013-02-10,85,4
Utility-Power Outage,2013-02-23,31,4
Utility-Manhole,2013-02-23,2409,5
Utility-Water Main,2013-02-24,60,2
Utility-Gas High Pressure,2013-02-26,946,8
Utility-Gas Service Line,2013-03-01,66,7
Utility-Water Main,2013-03-09,850,2
Utility-Gas Service Line,2013-03-10,461,7
Utility-Water Main,2013-03-14,64,2
Utility-Gas Service Line,2013-03-15,61,7
