iteration,trainRMSE
890,"[2649.3060318933794, 2639.0642092794064, 2636.785514063322, 2638.241641724783, 2636.855577508435, 2638.5246556971792, 2639.637080836535, 2639.9895499838162, 2640.6263815516168, 2636.970615911583]"
900,"[2647.8695397337333, 2639.243985702736, 2635.6521136127894, 2634.4567273040248, 2641.6147545015556, 2639.348840408316, 2640.980927104314, 2640.246346494476, 2640.9280847988475, 2636.1204694757866]"
910,"[2645.9957511357784, 2636.904023884702, 2635.100894389833, 2633.6171402166915, 2636.0779135170433, 2637.5938899767543, 2635.497807314207, 2638.816458953825, 2639.279752585784, 2635.534925435039]"
920,"[2648.040918350451, 2635.0546512699807, 2635.0706827134686, 2633.7797179894637, 2640.822127023827, 2640.2173222341803, 2639.5703052453878, 2638.95184719618, 2639.2590132964124, 2632.8583514956035]"
930,"[2655.2534281895987, 2650.092865339519, 2637.4168858760036, 2634.9997271469006, 2639.99785650503, 2641.359326271112, 2645.6270287723924, 2639.606400172702, 2638.526256086814, 2635.5727267838015]"
940,"[2646.4878924582144, 2638.1924318675374, 2636.22302198325, 2636.4547054933923, 2636.785299978074, 2637.507812661113, 2639.203246865611, 2640.280127733213, 2640.566985597585, 2637.05996603065]"
950,"[2645.674633790762, 2632.95120977876, 2632.7249308906703, 2630.7212232637444, 2633.5948616725777, 2635.9362264811266, 2639.6270483648323, 2637.6134947368246, 2637.1642985343783, 2631.9719595245356]"
960,"[2650.710068484871, 2641.0123650069386, 2633.665087604298, 2632.5362245815195, 2639.6183526367336, 2636.1886958420114, 2640.305872765341, 2633.178432394237, 2636.786016704092, 2633.783634802306]"
970,"[2645.9047501278587, 2632.858562060204, 2631.4915506116886, 2630.3513829656, 2634.2763560064604, 2633.898947552496, 2635.2755020140457, 2633.837231006823, 2635.376856073673, 2631.235239493079]"
980,"[2653.087966162535, 2644.2823804266786, 2630.9803933352778, 2635.557786873091, 2643.2225201160036, 2636.834809055149, 2642.211093513683, 2634.3517493402874, 2636.966718601102, 2636.795163817723]"
990,"[2642.466309019463, 2634.1483939780255, 2631.441296973043, 2631.032052467158, 2631.817061308743, 2634.110453217157, 2632.6240385234337, 2634.875650726556, 2635.7507018705555, 2632.007047588229]"
