Incident Type,Creation Date,Response Time,Year,Week,Day
Fire-10-76 (Commercial High Rise),2012-11-23,109.0,2012,2012-47,328
Fire-3rd Alarm,2012-11-25,961.0,2012,2012-48,330
Fire-School,2012-11-27,88.0,2012,2012-48,332
Fire-Sanitation Garage,2012-12-07,31.0,2012,2012-49,342
Fire-2nd Alarm,2012-12-09,136.0,2012,2012-50,344
Fire-2nd Alarm,2012-12-09,267.0,2012,2012-50,344
Fire-2nd Alarm,2012-12-13,119.0,2012,2012-50,348
Fire-4th Alarm,2012-12-16,1527.0,2012,2012-51,351
Fire-4th Alarm,2012-12-17,525.0,2012,2012-51,352
Fire-2nd Alarm,2012-12-18,4921.400000000009,2012,2012-51,353
Fire-2nd Alarm,2012-12-23,244.0,2012,2012-52,358
Fire-Sensitive Location,2012-12-25,51.0,2012,2012-52,360
Fire-2nd Alarm,2012-12-26,67.0,2012,2012-52,361
Fire-Manhole,2012-12-29,129.0,2012,2012-52,364
Fire-3rd Alarm,2012-12-31,3095.0,2012,2012-53,366
Fire-2nd Alarm,2013-01-01,235.0,2013,2013-00,1
Fire-3rd Alarm,2013-01-04,4921.400000000009,2013,2013-00,4
Fire-5th Alarm,2013-01-10,3969.0,2013,2013-01,10
Fire-2nd Alarm,2013-01-11,98.0,2013,2013-01,11
Fire-4th Alarm,2013-01-12,530.0,2013,2013-01,12
Fire-School,2013-01-14,113.0,2013,2013-02,14
Fire-4th Alarm,2013-01-22,433.0,2013,2013-03,22
Fire-4th Alarm,2013-01-23,1286.0,2013,2013-03,23
Fire-3rd Alarm,2013-01-25,421.0,2013,2013-03,25
Fire-1st Alarm,2013-01-26,43.0,2013,2013-03,26
Fire-2nd Alarm,2013-01-27,152.0,2013,2013-04,27
Fire-4th Alarm,2013-01-27,901.0,2013,2013-04,27
Fire-3rd Alarm,2013-01-27,232.0,2013,2013-04,27
Fire-1st Alarm,2013-02-04,47.0,2013,2013-05,35
Fire-Smoke Condition,2013-02-10,56.0,2013,2013-06,41
Fire-Manhole,2013-02-11,136.0,2013,2013-06,42
Fire-Manhole,2013-02-11,178.0,2013,2013-06,42
Fire-Manhole,2013-02-11,90.0,2013,2013-06,42
Fire-School,2013-02-13,371.0,2013,2013-06,44
Fire-4th Alarm,2013-02-14,1643.0,2013,2013-06,45
Fire-4th Alarm,2013-02-15,962.0,2013,2013-06,46
Fire-2nd Alarm,2013-02-24,215.0,2013,2013-08,55
Fire-1st Alarm,2013-03-03,195.0,2013,2013-09,62
Fire-2nd Alarm,2013-03-05,441.0,2013,2013-09,64
Fire-2nd Alarm,2013-03-06,146.0,2013,2013-09,65
Fire-3rd Alarm,2013-03-09,3013.0,2013,2013-09,68
Fire-2nd Alarm,2013-03-09,246.0,2013,2013-09,68
Fire-10-77 (Residential High Rise),2013-03-13,48.0,2013,2013-10,72
Fire-1st Alarm,2013-03-15,329.0,2013,2013-10,74
Fire-10-77 (Residential High Rise),2013-03-16,72.0,2013,2013-10,75
Fire-4th Alarm,2013-03-17,374.0,2013,2013-11,76
Fire-3rd Alarm,2013-03-18,4921.400000000009,2013,2013-11,77
Fire-1st Alarm,2013-03-27,331.0,2013,2013-12,86
Fire-1st Alarm,2013-04-01,58.0,2013,2013-13,91
Fire-2nd Alarm,2013-04-04,258.0,2013,2013-13,94
Fire-3rd Alarm,2013-04-06,557.0,2013,2013-13,96
Fire-Truck Fire,2013-04-07,124.0,2013,2013-14,97
Fire-3rd Alarm,2013-04-11,194.0,2013,2013-14,101
Fire-3rd Alarm,2013-04-13,300.0,2013,2013-14,103
Fire-10-76 (Commercial High Rise),2013-04-16,178.0,2013,2013-15,106
Fire-1st Alarm,2013-04-17,73.0,2013,2013-15,107
Fire-10-77 (Residential High Rise),2013-04-17,92.0,2013,2013-15,107
Fire-Brush,2013-04-22,40.0,2013,2013-16,112
Fire-3rd Alarm,2013-04-28,196.0,2013,2013-17,118
Fire-5th Alarm,2013-05-02,4921.400000000009,2013,2013-17,122
Fire-1st Alarm,2013-05-02,1106.0,2013,2013-17,122
Fire-1st Alarm,2013-05-04,102.0,2013,2013-17,124
Fire-1st Alarm,2013-05-05,111.0,2013,2013-18,125
Fire-Haz Mat,2013-05-08,176.0,2013,2013-18,128
Fire-10-77 (Residential High Rise),2013-05-10,997.0,2013,2013-18,130
Fire-School,2013-05-15,742.0,2013,2013-19,135
Fire-1st Alarm,2013-05-16,89.0,2013,2013-19,136
Fire-10-76 (Commercial High Rise),2013-05-20,92.0,2013,2013-20,140
Fire-1st Alarm,2013-05-20,469.0,2013,2013-20,140
Fire-Con Ed Feeder Cables on Fire,2013-05-24,4855.0,2013,2013-20,144
Fire-Sensitive Location,2013-05-29,179.0,2013,2013-21,149
Fire-2nd Alarm,2013-05-29,1743.0,2013,2013-21,149
Fire-Haz Mat,2013-05-30,153.0,2013,2013-21,150
Fire-Manhole,2013-06-03,205.0,2013,2013-22,154
Fire-3rd Alarm,2013-06-03,4921.400000000009,2013,2013-22,154
Fire-2nd Alarm,2013-06-05,4921.400000000009,2013,2013-22,156
Fire-Manhole,2013-06-05,1477.0,2013,2013-22,156
Fire-School,2013-06-05,75.0,2013,2013-22,156
Fire-10-76 (Commercial High Rise),2013-06-11,1980.0,2013,2013-23,162
Fire-Collapse,2013-06-12,1372.0,2013,2013-23,163
Fire-Sensitive Location,2013-06-20,508.0,2013,2013-24,171
Fire-1st Alarm,2013-06-24,79.0,2013,2013-25,175
Fire-1st Alarm,2013-06-24,166.0,2013,2013-25,175
Fire-Manhole,2013-06-25,143.0,2013,2013-25,176
Fire-10-76 (Commercial High Rise),2013-07-02,72.0,2013,2013-26,183
Fire-10-77 (Residential High Rise),2013-07-04,59.0,2013,2013-26,185
Fire-Metro North Train on Fire,2013-07-04,91.0,2013,2013-26,185
Fire-3rd Alarm,2013-07-04,217.0,2013,2013-26,185
Fire-3rd Alarm,2013-07-09,1318.0,2013,2013-27,190
Fire-3rd Alarm,2013-07-09,532.0,2013,2013-27,190
Fire-Collapse,2013-07-11,4921.400000000009,2013,2013-27,192
Fire-Commercial,2013-07-12,128.0,2013,2013-27,193
Fire-Manhole,2013-07-14,4921.400000000009,2013,2013-28,195
Fire-1st Alarm,2013-07-15,204.0,2013,2013-28,196
Fire-Electrical,2013-07-15,444.0,2013,2013-28,196
Fire-2nd Alarm,2013-07-16,225.0,2013,2013-28,197
Fire-Manhole,2013-07-17,155.0,2013,2013-28,198
Fire-5th Alarm,2013-07-17,891.0,2013,2013-28,198
Fire-Turbine,2013-07-17,96.0,2013,2013-28,198
Fire-1st Alarm,2013-07-18,823.0,2013,2013-28,199
Fire-3rd Alarm,2013-07-18,4921.400000000009,2013,2013-28,199
Fire-5th Alarm,2013-07-22,4921.400000000009,2013,2013-29,203
Fire-2nd Alarm,2013-07-23,3162.0,2013,2013-29,204
Fire-Manhole,2013-07-30,897.0,2013,2013-30,211
Fire-Sensitive Location,2013-07-30,42.0,2013,2013-30,211
Fire-Fire in a Hotel,2013-08-08,47.0,2013,2013-31,220
Fire-10-76 (Commercial High Rise),2013-08-14,76.0,2013,2013-32,226
Fire-3rd Alarm,2013-08-14,129.0,2013,2013-32,226
Fire-3rd Alarm,2013-08-15,143.0,2013,2013-32,227
Fire-Vehicle Fire,2013-08-16,1971.0,2013,2013-32,228
Fire-Sensitive Location,2013-08-18,78.0,2013,2013-33,230
Fire-10-76 (Commercial High Rise),2013-08-22,299.0,2013,2013-33,234
Fire-1st Alarm,2013-08-23,4921.400000000009,2013,2013-33,235
Fire-2nd Alarm,2013-08-23,1676.0,2013,2013-33,235
Fire-10-77 (Residential High Rise),2013-08-24,46.0,2013,2013-33,236
Fire-1st Alarm,2013-08-28,1341.0,2013,2013-34,240
Fire-2nd Alarm,2013-08-29,409.0,2013,2013-34,241
Fire-1st Alarm,2013-09-02,4921.400000000009,2013,2013-35,245
Fire-10-77 (Residential High Rise),2013-09-03,96.0,2013,2013-35,246
Fire-10-76 (Commercial High Rise),2013-09-06,91.0,2013,2013-35,249
Fire-1st Alarm,2013-09-08,371.0,2013,2013-36,251
Fire-School,2013-09-09,6.0,2013,2013-36,252
Fire-3rd Alarm,2013-09-09,4921.400000000009,2013,2013-36,252
Fire-5th Alarm,2013-09-09,494.0,2013,2013-36,252
Fire-10-76 (Commercial High Rise),2013-09-11,60.0,2013,2013-36,254
Fire-2nd Alarm,2013-09-19,4921.400000000009,2013,2013-37,262
Fire-Sensitive Location,2013-10-01,96.0,2013,2013-39,274
Fire-Overhead wires,2013-10-01,4921.400000000009,2013,2013-39,274
Fire-2nd Alarm,2013-10-04,156.0,2013,2013-39,277
Fire-Sensitive Location,2013-10-04,260.0,2013,2013-39,277
Fire-High Angle Rescue,2013-10-04,0.0,2013,2013-39,277
Fire-10-76 (Commercial High Rise),2013-10-06,143.0,2013,2013-40,279
Fire-Explosion,2013-10-12,4921.400000000009,2013,2013-40,285
Fire-2nd Alarm,2013-10-12,50.0,2013,2013-40,285
Fire-1st Alarm,2013-10-20,114.5,2013,2013-42,293
Fire-3rd Alarm,2013-10-23,505.0,2013,2013-42,296
Fire-2nd Alarm,2013-10-25,1388.0,2013,2013-42,298
Fire-2nd Alarm,2013-10-25,123.0,2013,2013-42,298
Fire-4th Alarm,2013-10-27,4921.400000000009,2013,2013-43,300
Fire-1st Alarm,2013-10-28,68.0,2013,2013-43,301
Fire-10-76 (Commercial High Rise),2013-11-04,84.0,2013,2013-44,308
Fire-2nd Alarm,2013-11-04,109.0,2013,2013-44,308
Fire-3rd Alarm,2013-11-10,4921.400000000009,2013,2013-45,314
Fire-1st Alarm,2013-11-11,1039.0,2013,2013-45,315
Fire-2nd Alarm,2013-11-11,120.0,2013,2013-45,315
Fire-4th Alarm,2013-11-12,2441.0,2013,2013-45,316
Fire-3rd Alarm,2013-11-12,281.0,2013,2013-45,316
Fire-1st Alarm,2013-11-15,4921.400000000009,2013,2013-45,319
Fire-School,2013-11-15,76.0,2013,2013-45,319
Fire-School,2013-11-18,40.0,2013,2013-46,322
Fire-4th Alarm,2013-11-18,1459.0,2013,2013-46,322
Fire-10-76 (Commercial High Rise),2013-11-19,39.0,2013,2013-46,323
Fire-Brush Fire 2nd Alarm,2013-11-19,253.0,2013,2013-46,323
Fire-4th Alarm,2013-11-20,1242.0,2013,2013-46,324
Fire-10-77 (Residential High Rise),2013-11-21,18.0,2013,2013-46,325
Fire-10-77 (Residential High Rise),2013-11-23,80.0,2013,2013-46,327
Fire-1st Alarm,2013-11-23,35.0,2013,2013-46,327
Fire-2nd Alarm,2013-11-24,905.0,2013,2013-47,328
Fire-3rd Alarm,2013-11-24,584.0,2013,2013-47,328
Fire-10-77 (Residential High Rise),2013-11-25,1206.0,2013,2013-47,329
Fire-2nd Alarm,2013-11-25,4921.400000000009,2013,2013-47,329
Fire-2nd Alarm,2013-11-26,299.0,2013,2013-47,330
Fire-1st Alarm,2013-11-28,649.0,2013,2013-47,332
Fire-1st Alarm,2013-11-29,69.0,2013,2013-47,333
Fire-10-76 (Commercial High Rise),2013-12-04,55.0,2013,2013-48,338
Fire-2nd Alarm,2013-12-08,125.0,2013,2013-49,342
Fire-10-76 (Commercial High Rise),2013-12-10,73.0,2013,2013-49,344
Fire-1st Alarm,2013-12-13,173.0,2013,2013-49,347
Fire-5th Alarm,2013-12-13,4921.400000000009,2013,2013-49,347
Fire-1st Alarm,2013-12-15,615.0,2013,2013-50,349
