iteration,trainRMSE
650,"[1748.772906947942, 1745.215462975148, 1745.8404362002082, 1750.6445608648733, 1747.6742497713988, 1734.7200685146424, 1722.5980295164352, 1725.1436911194842, 1727.7685456549445, 1730.0528977798754]"
660,"[1749.2259644200349, 1744.9518802332311, 1745.6714332181307, 1751.0163955203097, 1748.6298475061028, 1732.6365250903602, 1721.0523344277267, 1726.42603036631, 1728.4416653512128, 1729.8581964442226]"
670,"[1749.1500093361708, 1744.7727064511682, 1746.8493087616391, 1751.0285241758504, 1747.4181644762741, 1733.72660710691, 1720.5608026943526, 1725.631052521521, 1727.3868054498666, 1729.220218986788]"
680,"[1749.1425797193483, 1744.8328685103554, 1745.284361818032, 1750.3953279047723, 1748.2407244605492, 1732.2888253203844, 1719.3462969788843, 1726.3653860050147, 1727.3646029405272, 1728.8331490827295]"
690,"[1748.9835354883974, 1744.2810481558708, 1744.981533038054, 1750.3279185354672, 1747.1594703861567, 1734.5027739296345, 1721.633005848659, 1724.5086418337237, 1727.466855802367, 1729.4751515084424]"
700,"[1748.9748003606474, 1745.1461479687134, 1746.255294136761, 1750.2697838061829, 1748.749839387301, 1732.4194601295678, 1719.3372659656657, 1727.1362624308272, 1728.144656917809, 1729.1270671165337]"
710,"[1748.814248459128, 1744.046719654752, 1744.2687265350876, 1749.7686239964496, 1746.466944946588, 1733.7660470636927, 1719.2894777759286, 1724.003927038943, 1726.8234840504117, 1728.1682702290277]"
720,"[1748.8382700383106, 1744.4994773672743, 1745.2505229883577, 1749.1036937690526, 1747.7989489227737, 1732.2668982565383, 1717.619582665918, 1725.6323453597988, 1726.9468568780012, 1728.4135460236496]"
730,"[1748.5379608773792, 1744.0858601845382, 1746.056740901112, 1751.1604104585315, 1748.797015556793, 1733.8864987071058, 1718.7872256540106, 1726.4773332789919, 1729.694049935838, 1730.904379073412]"
740,"[1749.08222738057, 1746.230824302835, 1746.3602996528462, 1749.2530074838785, 1747.9324195566455, 1732.6479169196857, 1721.3561239684811, 1725.3929310550145, 1727.2866162039847, 1728.3646113795687]"
750,"[1749.702286492187, 1745.2488543354207, 1746.4235651506476, 1749.8418162618448, 1747.6666051061902, 1734.712085506142, 1723.6100150421569, 1725.8505328689623, 1728.4790354787199, 1730.06135065015]"
760,"[1749.3636041171694, 1744.3864531897932, 1744.7355022582683, 1749.5816311471165, 1746.9521025168806, 1733.5020058286227, 1720.5683318512367, 1724.5388042910308, 1727.3504472255154, 1727.972726173907]"
770,"[1749.2092658357165, 1743.722521586889, 1744.0463470196387, 1749.2354434066615, 1747.6094173161364, 1732.3412218682558, 1717.6995157814924, 1725.3775299658805, 1726.912280866233, 1728.574523638274]"
780,"[1749.3145058674374, 1743.858433899814, 1743.7720983660397, 1749.3147325821014, 1746.4210212693392, 1733.156362076012, 1719.4521887673434, 1724.1279341308766, 1727.0588883092182, 1727.2421041393977]"
790,"[1749.0968672577703, 1743.4213042169874, 1744.7474321603763, 1749.2321007911016, 1747.4725849437223, 1732.9696636053957, 1717.60759791297, 1726.171362016626, 1727.7562866880567, 1729.2119234588424]"
800,"[1749.2401953405715, 1742.7920292024123, 1742.924051983275, 1749.1666998631144, 1745.559513449774, 1734.7888590845246, 1719.701172144907, 1723.240766740167, 1727.7288388714762, 1728.426779560978]"
810,"[1749.2615774877227, 1743.6448034698374, 1744.0143792277117, 1749.3211041540542, 1748.2674498312408, 1732.976949743573, 1717.4327830456832, 1726.9183725933392, 1728.3347858443963, 1729.085396018962]"
820,"[1749.2299229511814, 1744.176672425795, 1745.0296548546373, 1749.2431597180064, 1746.5324406211764, 1734.922964359095, 1722.0628169305846, 1724.8438955057788, 1727.989014224397, 1729.0015762317391]"
830,"[1748.9925484869636, 1743.8850235874274, 1744.304934607933, 1748.52652036825, 1746.7910999743867, 1733.2099914586395, 1717.2019552076322, 1725.2846688461348, 1726.5731018456543, 1728.4442448372627]"
840,"[1749.0392503904197, 1742.8852387664797, 1744.4556666321498, 1749.1898776963938, 1747.8977313095247, 1734.1878772722253, 1717.4619085101408, 1727.4267922391812, 1729.3672427915953, 1729.5228396927719]"
850,"[1749.1860925385763, 1744.1507089491886, 1744.7661042329946, 1749.3441083771054, 1746.907861398412, 1735.658794875112, 1721.3671212803088, 1725.6769317026615, 1728.2085485426223, 1728.495570366361]"
860,"[1749.099693483388, 1742.2870385926506, 1744.435800514699, 1751.026162075755, 1747.6044246041088, 1735.954400484508, 1725.077605626456, 1725.81303683635, 1728.1652841979171, 1731.4122242111207]"
870,"[1749.0335810164725, 1743.9832378916308, 1747.038434066279, 1748.590502323455, 1747.889398332972, 1732.2863546132971, 1718.798780367724, 1727.4718230336275, 1728.2473226889329, 1728.750523918107]"
880,"[1749.0140832480995, 1742.9952808419068, 1745.14777444998, 1747.7872887942215, 1747.864186277663, 1731.7367377603236, 1718.3784937958021, 1728.1247036458826, 1728.227608598151, 1727.918823339253]"
890,"[1748.8729752061208, 1743.142950790065, 1745.380011476712, 1745.7100653955276, 1745.9557144205573, 1730.983027792201, 1716.0462236487772, 1725.4550927176965, 1724.5226379231, 1723.4850900565261]"
900,"[1748.9793473073837, 1741.8971462859436, 1742.981558006336, 1746.2507403426916, 1744.831860659938, 1732.4046813405535, 1718.1944696367461, 1724.4581266743871, 1725.451152625076, 1723.3569658499637]"
910,"[1749.159551409708, 1743.4463120661899, 1747.5987919403365, 1749.7114741758653, 1748.492310074663, 1734.4065449018433, 1722.0615510545301, 1730.523360074365, 1728.4850668920424, 1728.6517850040495]"
920,"[1748.852686308029, 1742.560707161312, 1743.9933336823, 1746.79204315557, 1746.3364788097044, 1734.1628705015123, 1722.0176822712745, 1724.4982335240577, 1728.5021204720354, 1729.2387309462702]"
930,"[1748.5930494553413, 1743.079842037786, 1744.45362071384, 1747.032969749555, 1746.8852970281318, 1731.3981834339831, 1718.1332542507573, 1727.401004069151, 1725.5547002217447, 1725.9637280745044]"
940,"[1748.5771927460542, 1741.6430761162092, 1743.3729297511697, 1745.567411899067, 1744.7319277269758, 1731.7986642419537, 1715.1808767044504, 1724.4003073235842, 1724.189966300336, 1724.1677800103364]"
950,"[1748.714133108849, 1740.7315357896512, 1741.5744571348962, 1747.389955939636, 1746.3395385598155, 1734.759691326662, 1722.6017337647693, 1725.9945370889934, 1727.1823032743769, 1728.389279498102]"
960,"[1748.5875641575547, 1741.7198583816937, 1744.9233737343018, 1746.7760424178746, 1746.2075192424504, 1733.0731035793008, 1717.7299424812659, 1728.8909695972288, 1727.8625019237074, 1728.1085590640048]"
970,"[1748.2805335049902, 1740.7275261421364, 1741.6979371224152, 1747.509783072472, 1745.55722150131, 1735.2046349086766, 1722.2376757779382, 1725.537351325525, 1725.780700651632, 1727.8441013306165]"
980,"[1748.9937464722107, 1741.842441810897, 1745.249677026791, 1751.4239897145928, 1747.4674222980068, 1730.424693951484, 1717.4210695971667, 1732.8165980611025, 1727.9508064686545, 1727.308882239813]"
990,"[1748.7718746635496, 1741.6257190701122, 1743.009453349545, 1746.4100469788139, 1746.970477662953, 1731.718643125378, 1721.3429530655972, 1728.0731859260195, 1725.6963200536654, 1724.4474250654591]"
